gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2239012769	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24238209	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.253151	-81.038786	27816.0						2019-04-27T12:47:00Z	27	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	24238209			2019-05-01T00:53:51Z	CC_BY_NC_4_0	Todd Eiben	Todd Eiben			2019-05-07T19:52:44.745Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239011826	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24238319	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.298934	-81.13991	27816.0						2019-04-27T12:42:00Z	27	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	24238319			2019-05-01T00:54:49Z	CC_BY_NC_4_0	Todd Eiben	Todd Eiben			2019-05-07T19:52:44.699Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2238865981	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/23464864	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.174412	-80.116276	27847.0						2019-04-27T14:41:12Z	27	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	23464864			2019-04-27T20:37:52Z	CC_BY_NC_4_0	Dan Nydick	Dan Nydick			2019-05-07T19:51:11.847Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2238794617	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/23074108	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.196651	-78.212594	27692.0						2019-04-25T16:44:59Z	25	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	23074108			2019-04-25T21:34:48Z	CC_BY_NC_4_0	Jeremy Martin	Jeremy Martin			2019-05-07T19:50:26.191Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2238791885	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22903024	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.297339	-79.435027	28121.0						2019-04-22T14:44:44Z	22	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	22903024			2019-04-22T20:13:10Z	CC_BY_NC_4_0	sjkosh	sjkosh			2019-05-07T19:50:13.766Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2237798391	96404cc2-f762-11e1-a439-00145eb45e9a	urn:uuid:bd8ea53e-eae6-4ca7-a7ec-ec40c4bb5292	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US	Mt. Higby, E. of Meriden	2e167bb0-4441-11db-9ba2-b8a03c50a862	41.53815	-72.80704	6983.0						1963-05-05T00:00:00Z	5	5	1963	5137890	5137890	PRESERVED_SPECIMEN	YPM	ENT	YPM ENT 576621				CC0_1_0	Yale Peabody Museum of Natural History	Donald S. Chambers			2019-05-03T11:13:42.048Z		
2237798388	96404cc2-f762-11e1-a439-00145eb45e9a	urn:uuid:bd75e2ee-cc7d-4b12-a07b-ae1609c6ba8a	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US	Mt. Higby, E. of Meriden	2e167bb0-4441-11db-9ba2-b8a03c50a862	41.53815	-72.80704	6983.0						1963-05-05T00:00:00Z	5	5	1963	5137890	5137890	PRESERVED_SPECIMEN	YPM	ENT	YPM ENT 576622				CC0_1_0	Yale Peabody Museum of Natural History	Donald S. Chambers			2019-05-03T11:13:41.743Z		
2237798232	96404cc2-f762-11e1-a439-00145eb45e9a	urn:uuid:2c35d76e-27a6-4d35-8860-88d5f2e05e47	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US	Mt. Higby, E. of Meriden	2e167bb0-4441-11db-9ba2-b8a03c50a862	41.53815	-72.80704	6983.0						1963-05-05T00:00:00Z	5	5	1963	5137890	5137890	PRESERVED_SPECIMEN	YPM	ENT	YPM ENT 576620				CC0_1_0	Yale Peabody Museum of Natural History	Donald S. Chambers			2019-05-03T11:12:45.555Z		
2237692819	7fd12114-9010-4c13-8f46-990fe04ca882	75-11369-3414	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2017-04-16T00:00:00Z	16	4	2017	5137890	5137890	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-11369-3414				CC_BY_NC_4_0	NatureServe				2019-05-02T14:58:24.549Z		
2237638874	7fd12114-9010-4c13-8f46-990fe04ca882	37-9419-1364	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2010-04-16T00:00:00Z	16	4	2010	5137890	5137890	HUMAN_OBSERVATION	NTSRV	MD-NHP	37-9419-1364				CC_BY_NC_4_0	NatureServe				2019-05-02T14:57:44.224Z		
