name,longitude,latitude,prov,date
Cardamine concatenata (Michx.) O.Schwarz,-86.723106,34.732819,gbif,2019-02-05
Cardamine concatenata (Michx.) O.Schwarz,-93.313876,35.505369,gbif,2019-02-23
Cardamine concatenata (Michx.) O.Schwarz,-85.813007,36.087847,gbif,2019-02-21
Cardamine concatenata (Michx.) O.Schwarz,-86.909242,36.05582,gbif,2019-02-24
Cardamine concatenata (Michx.) O.Schwarz,-92.479028,34.836137,gbif,2019-02-10
Cardamine concatenata (Michx.) O.Schwarz,-86.57,33.85,gbif,2019-02-25
Cardamine concatenata (Michx.) O.Schwarz,-87.111855,36.300747,gbif,2019-02-24
Cardamine concatenata (Michx.) O.Schwarz,-93.922591,31.519412,gbif,2019-02-26
Cardamine concatenata (Michx.) O.Schwarz,-86.551178,34.771252,gbif,2019-02-14
Cardamine concatenata (Michx.) O.Schwarz,-86.32509,36.085644,gbif,2019-02-27
Cardamine concatenata (Michx.) O.Schwarz,-86.103185,35.491184,gbif,2019-02-16
Cardamine concatenata (Michx.) O.Schwarz,-89.984115,35.146597,gbif,2019-02-25
Cardamine concatenata (Michx.) O.Schwarz,-86.872576,36.080007,gbif,2019-03-10
Cardamine concatenata (Michx.) O.Schwarz,-82.944972,35.335326,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-86.546998,34.749262,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-77.242934,38.984756,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-85.525044,38.121163,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-79.081665,36.076946,gbif,2019-03-14
Cardamine concatenata (Michx.) O.Schwarz,-89.096955,37.642247,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-82.457835,35.617005,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-86.61405,36.20077,gbif,2019-03-17
Cardamine concatenata (Michx.) O.Schwarz,-89.915499,35.109454,gbif,2019-03-14
Cardamine concatenata (Michx.) O.Schwarz,-86.72065,39.29248,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-93.627548,35.169388,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-85.740077,36.041355,gbif,2019-03-21
Cardamine concatenata (Michx.) O.Schwarz,-79.1558,36.070983,gbif,2019-03-09
Cardamine concatenata (Michx.) O.Schwarz,-83.972962,35.511047,gbif,2019-03-20
Cardamine concatenata (Michx.) O.Schwarz,-90.649017,38.419136,gbif,2019-03-27
Cardamine concatenata (Michx.) O.Schwarz,-93.958152,36.296833,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-86.546416,34.748257,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-78.487973,37.99569,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-78.834427,36.117004,gbif,2019-03-27
Cardamine concatenata (Michx.) O.Schwarz,-86.102152,37.186788,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-93.732267,36.155025,gbif,2019-03-15
Cardamine concatenata (Michx.) O.Schwarz,-78.459695,38.027191,gbif,2019-03-29
Cardamine concatenata (Michx.) O.Schwarz,-89.985069,35.14621,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-83.765792,38.115692,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-85.533242,36.33945,gbif,2019-03-20
Cardamine concatenata (Michx.) O.Schwarz,-86.58885,36.291081,gbif,2019-03-02
Cardamine concatenata (Michx.) O.Schwarz,-93.96199,36.318573,gbif,2019-03-09
Cardamine concatenata (Michx.) O.Schwarz,-94.245407,35.781498,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-83.21238,38.846337,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-86.427597,37.156025,gbif,2019-03-11
Cardamine concatenata (Michx.) O.Schwarz,-79.0224,36.081475,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-76.56067,38.889404999999996,gbif,2019-03-12
Cardamine concatenata (Michx.) O.Schwarz,-84.27314,37.544121,gbif,2019-03-12
Cardamine concatenata (Michx.) O.Schwarz,-86.527939,39.11249,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-82.223587,35.850075,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-86.054626,34.942814,gbif,2019-03-15
Cardamine concatenata (Michx.) O.Schwarz,-81.180358,35.817422,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-78.815328,36.17048,gbif,2019-03-08
Cardamine concatenata (Michx.) O.Schwarz,-84.864675,36.919789,gbif,2019-03-22
Cardamine concatenata (Michx.) O.Schwarz,-76.463147,38.451896,gbif,2019-03-31
Cardamine concatenata (Michx.) O.Schwarz,-92.41126,34.937609,gbif,2019-03-23
Cardamine concatenata (Michx.) O.Schwarz,-86.102997,37.187068,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-89.439303,37.574334,gbif,2019-03-22
Cardamine concatenata (Michx.) O.Schwarz,-84.260933,37.515701,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-86.50822,39.12774,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-86.410494,39.168243,gbif,2019-03-28
Cardamine concatenata (Michx.) O.Schwarz,-86.992285999999993,36.149374,gbif,2019-03-16
Cardamine concatenata (Michx.) O.Schwarz,-84.646013,37.917641,gbif,2019-03-17
Cardamine concatenata (Michx.) O.Schwarz,-82.485533,35.655453,gbif,2019-03-30
Cardamine concatenata (Michx.) O.Schwarz,-88.131443,41.639894,gbif,2019-03-24
Cardamine concatenata (Michx.) O.Schwarz,-86.157925,37.155704,gbif,2019-03-15
Cardamine concatenata (Michx.) O.Schwarz,-85.355229,37.439207,gbif,2019-03-18
