name,longitude,latitude,prov,date
Cardamine diphylla (Michx.) Alph.Wood,-82.655972,36.203984,gbif,2019-01-11
Cardamine diphylla (Michx.) Alph.Wood,-81.180358,35.817422,gbif,2019-01-01
Cardamine diphylla (Michx.) Alph.Wood,-83.413605,36.207975,gbif,2019-01-06
Cardamine diphylla (Michx.) Alph.Wood,-84.383833,33.656067,gbif,2019-02-27
Cardamine diphylla (Michx.) Alph.Wood,-85.532905,36.339408,gbif,2019-03-20
Cardamine diphylla (Michx.) Alph.Wood,-83.571603,35.652405,gbif,2019-03-17
Cardamine diphylla (Michx.) Alph.Wood,-83.202728,36.935128,gbif,2019-03-21
Cardamine diphylla (Michx.) Alph.Wood,-83.766962,38.116628,gbif,2019-03-30
Cardamine diphylla (Michx.) Alph.Wood,-85.379873,34.711555,gbif,2019-03-24
Cardamine diphylla (Michx.) Alph.Wood,-81.576546,41.273743,gbif,2019-03-17
Cardamine diphylla (Michx.) Alph.Wood,-84.359987,33.649994,gbif,2019-03-02
Cardamine diphylla (Michx.) Alph.Wood,-84.323937,33.777112,gbif,2019-03-11
Cardamine diphylla (Michx.) Alph.Wood,-84.324592,33.777305,gbif,2019-03-04
Cardamine diphylla (Michx.) Alph.Wood,-83.506123,36.338525,gbif,2019-03-30
Cardamine diphylla (Michx.) Alph.Wood,-79.897783,40.518819,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-79.906937,40.434655,gbif,2019-04-08
Cardamine diphylla (Michx.) Alph.Wood,-79.966988,40.271225,gbif,2019-04-30
Cardamine diphylla (Michx.) Alph.Wood,-80.356758,40.508686,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-79.888114,43.479646,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-79.718988,43.618448,gbif,2019-04-22
Cardamine diphylla (Michx.) Alph.Wood,-83.040122,35.593382,gbif,2019-04-08
Cardamine diphylla (Michx.) Alph.Wood,-73.918551,40.680669,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-79.820888,40.517967,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-78.86728,42.44517,gbif,2019-04-12
Cardamine diphylla (Michx.) Alph.Wood,-72.556389,41.702068,gbif,2019-04-16
Cardamine diphylla (Michx.) Alph.Wood,-76.616695000000007,44.249888,gbif,2019-04-20
Cardamine diphylla (Michx.) Alph.Wood,-79.161485,43.812943,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-84.340514,36.84027,gbif,2019-04-17
Cardamine diphylla (Michx.) Alph.Wood,-83.355743,35.619897,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-78.753422,42.702081,gbif,2019-04-21
Cardamine diphylla (Michx.) Alph.Wood,-73.626275,41.173313,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-87.455756,44.740445,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-79.3593,38.998653,gbif,2019-04-17
Cardamine diphylla (Michx.) Alph.Wood,-79.89016,40.123135,gbif,2019-04-18
Cardamine diphylla (Michx.) Alph.Wood,-81.440652,41.441686,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-73.843745,41.275063,gbif,2019-04-25
Cardamine diphylla (Michx.) Alph.Wood,-83.357318,35.702693,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-73.870421,41.510884,gbif,2019-04-22
Cardamine diphylla (Michx.) Alph.Wood,-79.527083,40.561455,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-83.199883,35.056098,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-80.177426,40.938992,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-79.123554,40.597529,gbif,2019-04-20
Cardamine diphylla (Michx.) Alph.Wood,-83.042778,35.592777,gbif,2019-04-08
Cardamine diphylla (Michx.) Alph.Wood,-73.320205,42.072497,gbif,2019-04-21
Cardamine diphylla (Michx.) Alph.Wood,-81.267094,41.259537,gbif,2019-04-14
Cardamine diphylla (Michx.) Alph.Wood,-79.001336,39.704236,gbif,2019-04-30
Cardamine diphylla (Michx.) Alph.Wood,-73.458927,42.815356,gbif,2019-04-21
Cardamine diphylla (Michx.) Alph.Wood,-79.902222,40.433887,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-79.001395,39.704228,gbif,2019-04-30
Cardamine diphylla (Michx.) Alph.Wood,-81.563789,41.380051,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-73.866928,41.511927,gbif,2019-04-18
Cardamine diphylla (Michx.) Alph.Wood,-80.088761,41.066113,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-73.988899,42.646653,gbif,2019-04-25
Cardamine diphylla (Michx.) Alph.Wood,-81.550737,41.23845,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-79.742802,39.11696,gbif,2019-04-07
Cardamine diphylla (Michx.) Alph.Wood,-66.181357,44.395002,gbif,2019-04-26
Cardamine diphylla (Michx.) Alph.Wood,-85.299966,42.526835,gbif,2019-04-21
Cardamine diphylla (Michx.) Alph.Wood,-82.059486,39.570488,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-80.16164,40.424447,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-79.82052,40.517033,gbif,2019-04-26
Cardamine diphylla (Michx.) Alph.Wood,-79.784613,40.532755,gbif,2019-04-11
Cardamine diphylla (Michx.) Alph.Wood,-81.904319,41.108561,gbif,2019-04-17
Cardamine diphylla (Michx.) Alph.Wood,-84.333248,33.875832,gbif,2019-04-21
Cardamine diphylla (Michx.) Alph.Wood,-80.085619,41.070105,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-81.127894,41.150119,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-80.475931,39.952958,gbif,2019-04-20
Cardamine diphylla (Michx.) Alph.Wood,-78.538036,40.655321,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-79.900841,40.520184,gbif,2019-04-13
Cardamine diphylla (Michx.) Alph.Wood,-73.531022,41.500478,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-79.577021,43.579653,gbif,2019-04-28
Cardamine diphylla (Michx.) Alph.Wood,-81.343854,41.61465,gbif,2019-04-29
Cardamine diphylla (Michx.) Alph.Wood,-77.912884,41.658727,gbif,2019-04-12
Cardamine diphylla (Michx.) Alph.Wood,-79.744465,39.703455,gbif,2019-04-23
Cardamine diphylla (Michx.) Alph.Wood,-83.23494,35.585504,gbif,2019-04-25
Cardamine diphylla (Michx.) Alph.Wood,-79.555817,40.560967,gbif,2019-04-19
Cardamine diphylla (Michx.) Alph.Wood,-79.519583,40.564095,gbif,2019-04-27
Cardamine diphylla (Michx.) Alph.Wood,-81.326316,41.371725,gbif,2019-04-28
