name,longitude,latitude,prov,date
"Pieris virginiensis Edwards, 1870",-85.46315,35.492486,gbif,2019-03-31
"Pieris virginiensis Edwards, 1870",-83.533297,35.745275,gbif,2019-04-24
"Pieris virginiensis Edwards, 1870",-83.219597,35.424925,gbif,2019-04-09
"Pieris virginiensis Edwards, 1870",-83.433185,35.046183,gbif,2019-04-05
"Pieris virginiensis Edwards, 1870",-83.095895,35.698576,gbif,2019-04-10
"Pieris virginiensis Edwards, 1870",-82.333544,35.673052,gbif,2019-04-11
"Pieris virginiensis Edwards, 1870",-83.363383,35.545955,gbif,2019-04-09
"Pieris virginiensis Edwards, 1870",-81.79111,41.325854,gbif,2019-04-22
"Pieris virginiensis Edwards, 1870",-83.243933,35.555829,gbif,2019-04-22
"Pieris virginiensis Edwards, 1870",-78.212594,42.196651,gbif,2019-04-25
"Pieris virginiensis Edwards, 1870",-80.116276,41.174412,gbif,2019-04-27
"Pieris virginiensis Edwards, 1870",-80.954599,41.523476,gbif,2019-04-20
"Pieris virginiensis Edwards, 1870",-81.080401,41.115518,gbif,2019-04-23
"Pieris virginiensis Edwards, 1870",-79.455099,38.626833,gbif,2019-04-10
"Pieris virginiensis Edwards, 1870",-79.435027,39.297339,gbif,2019-04-22
"Pieris virginiensis Edwards, 1870",-81.038786,41.253151,gbif,2019-04-27
"Pieris virginiensis Edwards, 1870",-81.13991,41.298934,gbif,2019-04-27
"Pieris virginiensis Edwards, 1870",-84.47111,36.074474,gbif,2019-04-10
"Pieris virginiensis Edwards, 1870",-79.700942,40.680509,gbif,2019-04-18
"Pieris virginiensis Edwards, 1870",-81.120258,41.04738,gbif,2019-04-23
"Pieris virginiensis Edwards, 1870",-83.648801,35.781051,gbif,2019-04-11
"Pieris virginiensis Edwards, 1870",-83.425634,35.016044,gbif,2019-04-05
"Pieris virginiensis Edwards, 1870",-83.976496,35.238225,gbif,2019-04-23
"Pieris virginiensis Edwards, 1870",-88.723816,45.239676,gbif,2019-05-30
"Pieris virginiensis Edwards, 1870",-80.464682,41.917741,gbif,2019-05-05
"Pieris virginiensis Edwards, 1870",-79.82766,43.502063,gbif,2019-05-17
"Pieris virginiensis Edwards, 1870",-79.273693,39.209753,gbif,2019-05-17
"Pieris virginiensis Edwards, 1870",-72.95557,43.582304,gbif,2019-05-17
"Pieris virginiensis Edwards, 1870",-79.855266,43.597367,gbif,2019-05-08
"Pieris virginiensis Edwards, 1870",-88.697522,45.332149,gbif,2019-05-30
"Pieris virginiensis Edwards, 1870",-82.20569,36.423715,gbif,2019-05-01
"Pieris virginiensis Edwards, 1870",-76.406337,44.509753,gbif,2019-05-15
"Pieris virginiensis Edwards, 1870",-86.138664,44.434789,gbif,2019-05-10
"Pieris virginiensis Edwards, 1870",-78.578002,44.746406,gbif,2019-05-19
"Pieris virginiensis Edwards, 1870",-80.500855,41.983378,gbif,2019-05-06
"Pieris virginiensis Edwards, 1870",-86.069666,44.49797,gbif,2019-05-11
"Pieris virginiensis Edwards, 1870",-78.528821,40.712379,gbif,2019-05-03
"Pieris virginiensis Edwards, 1870",-85.218877,34.653384,gbif,2018-03-24
"Pieris virginiensis Edwards, 1870",-82.232818,35.299612,gbif,2018-03-29
"Pieris virginiensis Edwards, 1870",-81.279045,41.50161,gbif,2018-04-30
"Pieris virginiensis Edwards, 1870",-79.689119,39.152458,gbif,2018-04-22
"Pieris virginiensis Edwards, 1870",-79.745492,39.165249,gbif,2018-04-22
"Pieris virginiensis Edwards, 1870",-79.986905,39.553898,gbif,2018-04-23
"Pieris virginiensis Edwards, 1870",-79.462068,39.822609,gbif,2018-04-30
"Pieris virginiensis Edwards, 1870",-79.568938,40.753228,gbif,2018-04-28
"Pieris virginiensis Edwards, 1870",-82.965484,35.841867,gbif,2018-04-13
"Pieris virginiensis Edwards, 1870",-79.506291,39.880615,gbif,2018-04-30
"Pieris virginiensis Edwards, 1870",-82.953264,35.833373,gbif,2018-04-13
