id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,scientific_name,taxon_id
28463,2008-05-06,41.834022,-80.230124,Crawford,Pennsylvania,United States,Pennsylvania,Crawford,Cardamine diphylla,118512
28466,2009-05-02,41.834022,-80.230124,Crawford,Pennsylvania,United States,Pennsylvania,Crawford,Cardamine diphylla,118512
28467,2008-05-06,41.834022,-80.230124,Crawford,Pennsylvania,United States,Pennsylvania,Crawford,Cardamine diphylla,118512
66423,2012-04-16,43.9579620361,-73.0749359131,Addison,Vermont,United States,Vermont,Addison,Cardamine diphylla,118512
66972,2012-04-08,41.1626841213,-81.5902750011,Summit,Ohio,United States,Ohio,Summit,Cardamine diphylla,118512
67680,2012-04-19,41.274922,-81.568517,Summit,Ohio,United States,Ohio,Summit,Cardamine diphylla,118512
68226,2012-04-20,44.0443376761,-73.1784512556,Addison,Vermont,United States,Vermont,Addison,Cardamine diphylla,118512
71392,2012-04-28,43.987993,-72.985578,Addison,Vermont,United States,Vermont,Addison,Cardamine diphylla,118512
73945,2012-04-18,41.1673333333,-81.5601666667,Summit,Ohio,United States,Ohio,Summit,Cardamine diphylla,118512
136920,2012-10-18,35.3063865167,-80.7277957628,Mecklenburg,North Carolina,United States,North Carolina,Mecklenburg,Cardamine diphylla,118512
145370,2012-04-14,41.04564232,-81.80401039,Medina,Ohio,United States,Ohio,Medina,Cardamine diphylla,118512
188017,2010-05-01,43.158944,-73.091878,Bennington,Vermont,United States,Vermont,Bennington,Cardamine diphylla,118512
189827,2012-04-28,43.7658408549,-73.0565071106,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
190441,2012-04-17,42.924298,-73.251085,Bennington,Vermont,United States,Vermont,Bennington,Cardamine diphylla,118512
190463,2012-03-23,42.924078,-73.252501,Bennington,Vermont,United States,Vermont,Bennington,Cardamine diphylla,118512
198204,2012-04-12,40.504708,-80.359101,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
201704,2012-05-06,43.626136,-72.56975,Windsor,Vermont,United States,Vermont,Windsor,Cardamine diphylla,118512
231366,2013-04-04,40.672172,-80.364153,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
241826,2013-04-20,41.3101771,-81.6089873,Cuyahoga,Ohio,United States,Ohio,Cuyahoga,Cardamine diphylla,118512
243006,2013-04-21,41.12,-81.5213333333,Summit,Ohio,United States,Ohio,Summit,Cardamine diphylla,118512
245411,2013-04-25,41.065204,-80.088056,Butler,Pennsylvania,United States,Pennsylvania,Butler,Cardamine diphylla,118512
245455,2013-04-25,44.009608,-73.150835,Addison,Vermont,United States,Vermont,Addison,Cardamine diphylla,118512
246740,2013-04-27,43.3743333333,-72.5321666667,Windsor,Vermont,United States,Vermont,Windsor,Cardamine diphylla,118512
247020,2013-04-27,39.960989,-80.462279,Greene,Pennsylvania,United States,Pennsylvania,Greene,Cardamine diphylla,118512
248957,2013-04-29,44.257229,-72.579598,Washington,Vermont,United States,Vermont,Washington,Cardamine diphylla,118512
249120,2013-04-28,43.825826,-73.381517,Addison,Vermont,United States,Vermont,Addison,Cardamine diphylla,118512
252514,2013-05-01,40.792065,-80.489455,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
252519,2013-05-02,43.132339,-72.525467,Windham,Vermont,United States,Vermont,Windham,Cardamine diphylla,118512
254376,2013-05-04,43.632876,-72.52146,Windsor,Vermont,United States,Vermont,Windsor,Cardamine diphylla,118512
254917,2013-05-04,40.791476,-80.489414,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
255251,2013-05-04,42.1823333333,-84.1125,Washtenaw,Michigan,United States,Michigan,Washtenaw,Cardamine diphylla,118512
255342,2013-05-05,44.029551,-73.159611,Addison,Vermont,United States,Vermont,Addison,Cardamine diphylla,118512
256603,2013-05-05,43.6328333333,-72.521,Windsor,Vermont,United States,Vermont,Windsor,Cardamine diphylla,118512
259202,2013-05-08,43.648058,-72.951648,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
261537,2013-05-10,43.5998333333,-72.4726666667,Windsor,Vermont,United States,Vermont,Windsor,Cardamine diphylla,118512
261541,2013-05-10,44.699288,-73.010631,Franklin,Vermont,United States,Vermont,Franklin,Cardamine diphylla,118512
261639,2013-05-03,40.73845,-80.641878,Columbiana,Ohio,United States,Ohio,Columbiana,Cardamine diphylla,118512
263997,2013-05-11,44.838344,-72.20801,Orleans,Vermont,United States,Vermont,Orleans,Cardamine diphylla,118512
264805,2013-05-12,43.852634,-72.58697,Windsor,Vermont,United States,Vermont,Windsor,Cardamine diphylla,118512
269562,2013-05-16,43.576431,-72.910555,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
430998,2012-03-21,40.4271666667,-79.9011666667,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
507001,2011-05-09,43.650231,-73.063614,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
507003,2011-05-20,43.583583,-72.928339,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
515853,1986-05-01,43.58991,-72.921856,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
636332,2014-04-21,42.149396,-87.785009,Cook,Illinois,United States,Illinois,Cook,Cardamine diphylla,118512
638658,2014-04-19,39.8757247925,-79.4971160889,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Cardamine diphylla,118512
638686,2014-04-19,39.8762168884,-79.4967269897,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Cardamine diphylla,118512
644857,2014-04-26,40.5786933899,-79.8648452759,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
644872,2014-04-26,40.577747345,-79.8621063232,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
644882,2014-04-26,40.5129527778,-79.8778083333,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
645518,2014-04-27,41.1283445,-82.21035,Lorain,Ohio,United States,Ohio,Lorain,Cardamine diphylla,118512
646106,2014-04-27,40.21608,-79.8517383333,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
647609,2014-04-27,39.578458,-82.275023,Hocking,Ohio,United States,Ohio,Hocking,Cardamine diphylla,118512
647691,2014-04-27,40.5261955261,-79.9016723633,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
652756,2014-05-01,35.033073,-83.467862,Macon,North Carolina,United States,North Carolina,Macon,Cardamine diphylla,118512
654467,2014-05-02,40.315165,-79.8490330556,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
656135,2014-05-03,39.7951016667,-79.6218966667,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Cardamine diphylla,118512
659457,2014-05-04,41.1900833333,-81.5825116667,Summit,Ohio,United States,Ohio,Summit,Cardamine diphylla,118512
659594,2014-05-04,40.5196163889,-79.89944,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
659932,2014-05-04,41.006676,-80.004952,Butler,Pennsylvania,United States,Pennsylvania,Butler,Cardamine diphylla,118512
660147,2014-05-03,39.7953580556,-79.62189,Fayette,Pennsylvania,United States,Pennsylvania,Fayette,Cardamine diphylla,118512
661195,2014-05-02,40.315071106,-79.8445129395,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
661213,2014-05-02,40.3155632019,-79.8482894897,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
661221,2014-05-02,40.3158912659,-79.8464889526,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
662712,2014-05-04,40.5197230556,-79.8996113889,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
664688,2014-05-06,40.5123583333,-80.447265,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
664729,2014-05-06,40.4988866667,-80.4272883333,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
664966,2014-05-06,44.3030861579,-72.4776913506,Washington,Vermont,United States,Vermont,Washington,Cardamine diphylla,118512
666662,2014-05-07,41.064589,-80.087901,Butler,Pennsylvania,United States,Pennsylvania,Butler,Cardamine diphylla,118512
666744,2014-05-07,40.3127963889,-79.8428697222,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
668883,2014-05-07,43.828522,-73.381415,Addison,Vermont,United States,Vermont,Addison,Cardamine diphylla,118512
669981,2014-05-07,40.5900268555,-79.8668899536,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
671753,2014-05-02,40.239295,-79.8355383333,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine diphylla,118512
672442,2014-05-11,44.205204,-72.60938,Washington,Vermont,United States,Vermont,Washington,Cardamine diphylla,118512
672975,2014-05-11,43.587291,-72.913357,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
674114,2014-05-12,42.9421598784,-87.9595297515,Milwaukee,Wisconsin,United States,Wisconsin,Milwaukee,Cardamine diphylla,118512
676332,2014-05-13,43.58784,-72.911003,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
676448,2014-05-13,40.1624580556,-79.2728697222,Westmoreland,Pennsylvania,United States,Pennsylvania,Westmoreland,Cardamine diphylla,118512
678807,2014-05-08,41.32274,-80.34277,Mercer,Pennsylvania,United States,Pennsylvania,Mercer,Cardamine diphylla,118512
678808,2014-05-08,41.3227947222,-80.3426363889,Mercer,Pennsylvania,United States,Pennsylvania,Mercer,Cardamine diphylla,118512
680895,2014-05-01,40.5502783333,-80.3093633333,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
680931,2014-05-01,40.5510366667,-80.3127116667,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
680939,2014-05-01,40.550476,-80.309356,Beaver,Pennsylvania,United States,Pennsylvania,Beaver,Cardamine diphylla,118512
682348,2014-05-17,43.587789,-72.914543,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
688938,2014-05-17,41.8363647461,-79.2592773438,Warren,Pennsylvania,United States,Pennsylvania,Warren,Cardamine diphylla,118512
688945,2014-05-17,41.8363647461,-79.2592773438,Warren,Pennsylvania,United States,Pennsylvania,Warren,Cardamine diphylla,118512
688987,2014-05-17,41.7924346924,-79.2809524536,Warren,Pennsylvania,United States,Pennsylvania,Warren,Cardamine diphylla,118512
689167,2014-05-08,41.3219830556,-80.02264,Mercer,Pennsylvania,United States,Pennsylvania,Mercer,Cardamine diphylla,118512
689168,2014-05-08,41.3219063889,-80.0225980556,Mercer,Pennsylvania,United States,Pennsylvania,Mercer,Cardamine diphylla,118512
693832,2014-05-21,43.587455,-72.911153,Rutland,Vermont,United States,Vermont,Rutland,Cardamine diphylla,118512
695714,2011-04-30,42.92367,-73.252158,Bennington,Vermont,United States,Vermont,Bennington,Cardamine diphylla,118512
704786,2014-05-02,42.96014,-73.821575,Saratoga,New York,United States,New York,Saratoga,Cardamine diphylla,118512
705329,2014-05-27,40.0873777778,-79.2503,Somerset,Pennsylvania,United States,Pennsylvania,Somerset,Cardamine diphylla,118512
732719,2014-05-26,40.0112683333,-79.2361766667,Somerset,Pennsylvania,United States,Pennsylvania,Somerset,Cardamine diphylla,118512
760192,2014-05-21,43.632257,-72.535515,Windsor,Vermont,United States,Vermont,Windsor,Cardamine diphylla,118512
