id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,scientific_name,taxon_id
6917,2010-04-28,42.9793968201,-81.2461395264,Middlesex,,Canada,Ontario,Middlesex,Cardamine concatenata,60438
38241,2011-04-07,40.0722016,-82.8775218,Franklin,Ohio,United States,Ohio,Franklin,Cardamine concatenata,60438
41076,2011-04-10,39.577847,-82.2376489,Perry,Ohio,United States,Ohio,Perry,Cardamine concatenata,60438
47147,1999-04-19,39.905067,-76.35813,Lancaster,Pennsylvania,United States,Pennsylvania,Lancaster,Cardamine concatenata,60438
55598,2012-03-04,34.728737,-92.35749,Pulaski,Arkansas,United States,Arkansas,Pulaski,Cardamine concatenata,60438
58747,2012-03-18,39.5719545584,-82.2659683228,Hocking,Ohio,United States,Ohio,Hocking,Cardamine concatenata,60438
59323,2012-03-21,40.4298782349,-79.9012756348,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine concatenata,60438
59540,2012-03-22,38.8799422346,-82.3723983765,Gallia,Ohio,United States,Ohio,Gallia,Cardamine concatenata,60438
68695,2012-04-01,40.5364566,-80.1845031,Allegheny,Pennsylvania,United States,Pennsylvania,Allegheny,Cardamine concatenata,60438
71018,2012-04-27,41.3321666667,-81.4086666667,Summit,Ohio,United States,Ohio,Summit,Cardamine concatenata,60438
73937,2012-03-26,41.082,-81.4556666667,Summit,Ohio,United States,Ohio,Summit,Cardamine concatenata,60438
183166,1995-05-15,39.5095556,-76.1641197,Harford,Maryland,United States,Maryland,Harford,Cardamine concatenata,60438
190437,2012-04-17,42.923811,-73.250398,Bennington,Vermont,United States,Vermont,Bennington,Cardamine concatenata,60438
201841,2012-04-01,41.1787053947,-81.6459759831,Summit,Ohio,United States,Ohio,Summit,Cardamine concatenata,60438
208386,2012-04-16,41.7057877213,-88.5782784704,Kendall,Illinois,United States,Illinois,Kendall,Cardamine concatenata,60438
214116,2013-03-10,35.9848127563,-79.0576171875,Orange,North Carolina,United States,North Carolina,Orange,Cardamine concatenata,60438
214118,2013-03-10,35.9860976051,-79.0520381928,Orange,North Carolina,United States,North Carolina,Orange,Cardamine concatenata,60438
217339,2013-03-16,36.07031152,-78.87021084,Durham,North Carolina,United States,North Carolina,Durham,Cardamine concatenata,60438
224514,2013-03-28,37.284,-89.1106666667,Pulaski,Illinois,United States,Illinois,Pulaski,Cardamine concatenata,60438
227083,2013-04-01,35.90086702,-79.03847174,Orange,North Carolina,United States,North Carolina,Orange,Cardamine concatenata,60438
227237,2013-04-01,39.6051099741,-81.3436369332,Monroe,Ohio,United States,Ohio,Monroe,Cardamine concatenata,60438
229294,2013-04-04,37.5463977268,-77.510175705,Richmond city,Virginia,United States,Virginia,Richmond city,Cardamine concatenata,60438
231918,2013-04-06,40.6519268237,-80.6409962519,Columbiana,Ohio,United States,Ohio,Columbiana,Cardamine concatenata,60438
